gene,Human_GBM_peritumor_astrocytes,Human_sclerotic_hippocampi_astrocytes,Human_fetal_astrocytes,Human_mature_astrocytes,Human_Neurons,Human_Oligodendrocytes,Human_Microglia_Macrophage,Human_Endothelial,Human_Whole_Cortex
FLJ14186,0.251500825,0.2700915,1.687984,0.344621667,0.1,0.1029886,0.1,0.145727,0.132948625
FLJ16171,0.1,0.1,0.388881667,0.1,0.1,0.1,0.1,0.1,0.0851128
FLJ16341,0.1,0.1,0.1,0.11726525,0.1,0.1,0.1,0.1,0.1
FLJ16779,0.240122575,0.35773255,0.367541833,0.557579083,0.1,0.1033038,0.1,0.1,0.183531725
FLJ20021,0.45813225,1.0003375,0.153665,0.51891975,0.1,0.2035398,0.3,0.4641575,0.201017975
FLJ20518,0.081760725,0.0898104,0.1,0.1,0.1,0.1,0.1,0.1,0.05862855
FLJ20518,0.081760725,0.0898104,0.1,0.1,0.1,0.1,0.1,0.1,0.05862855
FLJ21408,0.10420775,0.14595675,0.1,0.1,0.1,0.1,0.4,0.1,0.098730375
FLJ22184,0.05217,0.1104975,2.69006,0.103713167,0.106038,0.1462164,0.1,0.137895,0.39375725
FLJ22447,0.09297565,0.0909981,0.1,0.1168175,0.199119,0.1,0.3,0.2324605,0.063767725
FLJ22763,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FLJ23152,0.0853427,0.102591175,0.1,0.1,0.1,0.1,0.1,0.1,0.0837028
FLJ23867,0.076645125,0.29127175,0.102979,0.101382417,0.274067,0.1258846,0.4,0.1201085,0.25195905
FLJ25328,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FLJ25363,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FLJ25758,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FLJ26245,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FLJ26850,0.12884425,0.1,0.103408,0.100399667,0.1,0.1333468,0.1,0.1,0.12247035
FLJ27352,0.8800645,0.302251,2.639971167,1.026102833,1.72789,0.2140074,0.1,0.2458175,0.64451425
FLJ27354,0.261232,1.8036425,0.168314,0.787229667,0.807241,0.8337982,2.1,0.3863545,0.61698975
FLJ30403,0.188311,0.3166455,0.099841167,0.329932833,0.770942,0.3481914,0.1,0.1133115,0.1426865
FLJ30679,0.18561275,0.2513255,0.097239717,0.140486917,0.1,0.1068308,0.1,0.1,0.081655125
FLJ30838,0.111064425,0.079543325,0.302064333,0.1,0.167692,0.157637,0.1,0.1,0.70973575
FLJ31306,2.3604475,2.8130425,7.602165,2.674450833,5.13238,2.096112,5.5,1.1499815,3.9250425
FLJ31485,0.1,0.15246475,0.159049667,0.1,0.1,0.1,0.1,0.1102595,0.0778353
FLJ31662,0.085855,0.1,0.1,0.101416583,0.1,0.1,0.1,0.1,0.1
FLJ31813,0.142427425,0.1308755,0.225002333,0.411173917,0.1,0.1233256,0.1,0.3964285,0.0761868
FLJ32063,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FLJ32224,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FLJ33065,0.1,0.1,0.1,0.2644555,0.1,0.1,0.1,0.2348535,0.1999085
FLJ33360,0.0677935,0.1161175,0.109334333,0.221505583,0.311171,0.1,0.2,0.1,0.110561925
FLJ33534,0.1,0.1,0.1,0.1,0.1,0.1201784,0.1,0.1,0.0832331
FLJ33581,0.080319275,0.1672515,0.1,0.1,0.105797,0.1,0.1,0.13727,0.156341575
FLJ33630,0.48830125,0.8707055,0.128204667,0.54977625,0.166836,1.6047016,0.4,0.393054,0.90353725
FLJ34208,0.311134275,0.234577,0.728909,0.198191167,0.1,0.1758964,1.1,0.1465315,0.300307
FLJ34503,0.130275,0.129787,0.444483367,0.1670865,0.12778,0.1,0.5,0.1,0.109269225
FLJ34690,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FLJ35024,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FLJ35282,0.214815675,0.1,0.1,0.224003417,0.1,0.1,0.1,0.1,0.111716375
FLJ35390,0.1,0.1252948,0.5813855,0.105561167,0.1,0.1087248,0.1,0.1,0.082406425
FLJ35424,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FLJ35776,1.048519,2.05387075,0.2195135,1.933154167,1.48188,0.6730866,2.3,0.6607725,0.4019845
FLJ35946,0.1,0.1,0.1,0.156723917,0.1,0.1,0.1,0.1,0.1
FLJ36000,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FLJ36777,0.109100525,0.3994124,0.278351333,0.344181667,0.1,0.1126654,0.1,0.1,0.11048175
FLJ37035,0.117051125,0.28298975,0.381006667,0.462935167,0.700998,0.458599,0.1,0.1,0.19155975
FLJ37201,0.277408725,0.2623275,0.1,0.251443167,0.529673,0.2102354,0.1,0.1110435,0.4522925
FLJ37453,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FLJ37505,0.155676,0.2741495,0.1,0.1,0.1,0.1750946,0.1,0.23456,0.099049
FLJ38109,0.51546475,0.35386095,0.113724667,0.214417667,0.141124,0.4837698,0.5,0.1,0.5137365
FLJ38576,0.209426,0.11261575,0.241443617,0.344289333,0.101866,0.1171654,1.5,0.1,0.168000875
FLJ39051,0.57875225,0.34973175,1.393114667,0.732076,0.1,0.2372798,0.1,0.1,0.092429025
FLJ39080,0.105075,0.12241925,0.1,0.152329333,0.1,0.1,0.1,0.1,0.165998025
FLJ39534,0.1,0.3973075,0.583838333,0.444523917,0.1,0.178657,0.1,0.276257,0.1
FLJ39639,0.0912348,0.31199,0.1,0.256473417,0.1,0.1057406,0.3,0.3849525,0.06669115
FLJ39653,0.3605666,0.75117425,0.812199333,1.177422667,0.601239,0.7012616,0.5,0.40025,0.40295175
FLJ39739,0.734539,0.823219,1.121401667,1.045962083,0.338705,0.4973774,0.1,0.1774645,0.1989095
FLJ39739,0.7086575,0.823219,1.119801667,0.9702975,0.338705,0.4813558,0.1,0.1774645,0.200143
FLJ40194,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1414965,0.1
FLJ40288,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.08817845
FLJ40292,0.122464325,0.29818575,1.130213333,0.543067083,0.1,0.1,0.1,0.1,0.16534325
FLJ40434,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FLJ40852,0.54160005,0.19658335,0.095329017,0.4101195,0.223438,0.262599,0.3,0.1787875,0.0729209
FLJ41200,0.111112,0.273933,0.098829267,0.1024135,0.1,0.105883,0.1,0.1,0.076217075
FLJ41278,0.1,0.1351304,0.1,0.14793175,0.773762,0.1,0.1,0.1,0.572569
FLJ41350,0.092584075,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FLJ41484,0.06865375,0.111353775,0.27792405,0.1159095,0.1,0.1,0.2,0.1,0.0620549
FLJ41649,0.09875095,0.081240425,0.1,0.124447667,0.628412,0.1135734,0.1,0.1,0.3441735
FLJ41941,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FLJ42102,0.1,0.1,0.083753668,0.1,0.1,0.1,0.1,0.1,0.1
FLJ42280,0.07519935,0.093002225,0.109941667,0.123093333,0.278426,0.1033022,0.1,0.1,0.101853
FLJ42289,0.093632875,0.298673,0.1,0.60515075,0.15528,0.1234602,0.1,0.1,0.265188425
FLJ42351,0.708668,1.4336025,0.1,1.16628875,0.1,0.163829,0.4,0.1,0.3950475
FLJ42393,0.302682125,0.54604625,2.34106,0.431632083,0.3345,0.167559,0.8,0.1,0.20690035
FLJ42627,0.33735225,0.45571075,1.47289,0.3038145,0.377995,0.2704754,0.7,0.172665,0.5408985
FLJ42709,5.572845,4.21046,4.8069,8.5664925,15.0469,1.4787166,0.1,2.15802,4.3391325
FLJ42875,0.517574525,0.4035683,2.715227667,1.140563917,0.1,0.1,0.1,0.1,0.21688775
FLJ42969,0.1,0.1772075,0.1,0.103542583,0.1,0.1,0.1,0.1,0.06249115
FLJ43315,0.0834638,0.1,0.1,0.1081205,0.1,0.1,0.3,0.1,0.08597
FLJ43390,0.127278,1.96423875,0.338026667,0.150297583,2.98198,2.0810436,0.1,0.107359,0.75276725
FLJ43663,3.345685,6.6746575,1.126512667,4.3197825,5.44417,3.403568,13.2,1.77738,3.7742875
FLJ43681,0.990788125,0.25077375,0.839147167,0.305108417,0.336147,0.2261046,0.1,0.1,0.32835275
FLJ43826,0.080803125,0.1,0.0845508,0.1,0.1,0.1,0.1,0.190694,0.04389975
FLJ43860,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FLJ43879,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FLJ44054,0.091120825,0.0816853,0.086352267,0.1,0.1,0.1,0.1,0.1,0.04100235
FLJ44511,0.0833954,0.0860282,0.1,0.1067365,0.138715,0.1,0.1,0.1,0.0842948
FLJ44635,0.39956455,0.103865625,7.81952,0.156410083,0.556682,0.1037364,0.1,1.8597,1.4524725
FLJ45079,0.1,0.078752575,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FLJ45340,1.377975,1.8311075,4.677248333,1.236609917,1.12211,0.6943216,0.8,0.772747,0.7426915
FLJ45445,0.040055075,0.064415425,0.327612667,0.101866167,0.1,0.1,0.2,0.1,0.08360065
FLJ45513,0.525348,0.87513,0.8867545,0.25675325,0.485491,0.2114326,0.7,0.223805,0.71200925
FLJ45974,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.060982275
FLJ45983,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FLJ46066,0.1,0.088912425,0.1,0.341991917,0.1,0.1,0.1,0.1,0.069690175
FLJ46257,0.077901,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.082428175
FLJ46284,0.081196775,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FLJ46300,0.1,0.1,0.4006645,0.1,0.1,0.1,0.1,0.116398,0.116789225
FLJ46361,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.069015675
FLJ46446,0.088981075,0.40739725,0.112148167,0.132087333,0.1,1.6000524,1.8,0.1376955,0.6473755
FLJ46906,0.928221,1.9280245,6.795458333,4.609715833,0.586638,0.1729772,1.3,0.2527355,0.329965625
FLJ90757,0.646783,0.6653965,1.800613167,0.74104475,0.325393,0.1355938,0.2,0.158395,0.54644475
FLNA,3.79540875,0.30251375,5.007561667,0.632860833,0.1,0.1,0.1,1.88493,0.097280975
FLNB,1.5268155,1.69183225,1.805298333,0.407152833,0.918144,1.7097764,0.1,6.33454,0.3302725
FLNC,1.8251525,0.7122085,0.776756167,0.107058917,0.1,0.1080728,0.1,0.1175675,0.050819675
FLOT1,4.254935,1.9007925,2.3656985,1.410270583,1.11409,1.2202698,1.6,1.11531,0.676578
FLOT1,2.811525,4.25893,1.918395833,1.76269325,1.03007,1.2078512,1.6,2.218825,0.6416595
FLOT1,2.76405,2.198225,2.4449015,2.012785667,1.11409,1.2884882,2.0,1.11426,0.64761
FLOT1,2.80809,1.896105,2.995990833,2.162773167,1.44911,2.0375388,4.4,1.073185,0.6841225
FLOT1,4.3116575,3.3312075,2.295419167,1.9881455,2.65973,2.869048,1.8,1.2051,2.11247325
FLOT1,3.9743725,1.88934,2.489949,1.426072083,1.11409,1.2075854,1.6,2.34057,0.83350225
FLOT1,5.169005,1.9069625,2.5944275,1.37297625,1.11409,1.208461,1.6,1.075215,0.65949225
FLOT1,2.8226775,1.8744125,4.785061,1.367496667,1.11409,1.2693646,1.6,1.072575,0.65406025
FLOT2,6.592135,2.66582,6.667735,3.4802475,0.567264,0.6311762,1.2,2.641315,0.41180425
FLRT1,0.20028445,0.92206875,0.121159667,0.390760333,0.903625,0.4599104,0.1,0.1,0.202996975
FLRT2,5.15359625,6.05362,0.718413167,14.26440667,11.1475,2.6773632,0.1,0.856168,7.93265
FLRT3,6.0277105,1.5225215,1.605731667,0.44821375,12.6,2.2151956,0.1,0.296984,2.8429325
FLT1,0.26341975,4.56151975,1.144417833,0.382288083,3.72601,1.937704,50.4,71.88795,5.5561925
FLT3,0.080754525,0.071446275,0.1,0.133310667,0.692054,0.1001904,0.1,0.4290395,0.26437825
FLT3LG,0.2719095,0.120820475,0.1124205,0.216420083,0.1,0.1,0.2,0.213043,0.14313675
FLT4,0.078703675,0.1,0.260944767,0.1,0.1,0.1,0.1,0.623687,0.060330215
FLVCR1,0.9940622,1.38945825,2.187710667,0.8466165,1.39384,0.9001038,1.2,0.230881,0.78287675
FLVCR1-AS1,0.76692475,0.14922975,0.100486,0.273330917,0.491713,0.4250562,0.6,0.2187755,0.16358275
FLVCR2,0.4337885,0.218728375,0.412778833,0.164341833,0.178694,0.213551,0.2,2.47957,0.127725975
FLYWCH1,0.14974565,0.30469725,0.497325667,0.39081125,0.1,0.1,0.1,0.26034,0.1829021
FLYWCH2,0.76328775,0.38974425,2.271601667,0.712660583,0.643001,0.101564,0.1,0.894502,0.3243733
FMN1,0.117918975,0.6011765,0.088115267,0.138240917,2.20421,0.6017506,4.4,0.402841,1.4136875
FMN2,6.8362825,5.0337075,2.693878833,15.17170833,5.52623,1.8091776,0.2,2.41267,4.1883575
FMNL1,0.0802135,0.126682975,0.094271517,0.10491325,0.1,0.1,0.7,0.1,0.0723023
FMNL2,24.5073,55.3323,9.333498333,45.74536667,12.3206,49.20328,12.6,2.56269,16.11765
FMNL3,1.9787275,5.28239,2.465691667,1.164251833,1.26253,2.0452438,18.1,4.27868,1.4151275
FMO1,0.1,0.1,0.6657725,0.102071083,0.1,0.1,0.1,0.1692745,0.1
FMO2,0.0654026,0.14890275,0.08498412,0.275650417,0.137746,0.1,0.1,0.59378,0.12086875
FMO3,1.582615,0.128524575,0.4443115,0.103740417,0.246693,0.1725524,0.1,1.9781,0.0833177
FMO4,1.214587,0.98458775,0.117361,0.611467083,0.118899,0.8937842,1.1,0.387292,0.14052845
FMO5,0.231335375,1.26611525,0.389482833,1.973575833,0.300223,1.0277586,1.6,0.1,0.23723325
FMO6P,0.1,0.324531025,0.6734645,0.10451725,0.119776,0.1951514,0.1,0.1,0.19362725
FMO9P,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FMOD,0.631041,0.1535495,0.1,0.13991025,0.329684,0.1394168,0.1,0.53639,0.098767575
FMR1,3.74435525,4.296745,6.833051667,5.82766,8.80217,5.820408,3.6,1.77332,3.813835
FMR1-AS1,0.1,0.1,0.1,0.2000575,0.1,0.1,0.1,0.1,0.1
FMR1NB,0.1,0.10237375,0.1,0.1,0.1,0.1,0.1,0.108007,0.1
FN1,20.91511,4.648385,7.78568,2.5666875,3.22719,0.9942016,0.1,65.1676,2.26353425
FN3K,0.8295375,5.977075,2.367154167,3.9876785,0.376805,1.751943,0.4,0.4179485,0.08894955
FN3KRP,1.6952225,5.3144125,6.459601667,4.279835833,4.97518,5.282338,2.2,1.7437,1.20414825
FNBP1,5.62104,15.5453025,4.187855,12.75402167,3.45709,13.966428,3.0,1.75357,3.10028
FNBP1L,7.0087125,5.26424,26.45743333,7.988528333,18.8331,2.4059012,7.5,4.48579,7.5280975
FNBP4,8.733265,8.9977725,14.26006,5.681395,8.78154,5.753834,12.3,2.54253,4.400225
FNDC1,0.198709,0.10135625,0.625888667,0.1,0.143885,0.1,0.1,0.1,0.04431478
FNDC3A,18.7637975,10.00503,10.54488833,8.294509167,14.3583,8.393996,7.9,4.518175,6.069125
FNDC3B,4.97981625,1.815915,3.454093333,2.608378333,0.677644,1.428067,2.1,2.45989,0.5740315
FNDC4,1.67177625,0.56662275,2.129491667,1.767030667,2.83298,0.9274382,0.1,0.523339,0.567764025
FNDC5,0.5590175,0.2638215,0.852694833,1.518531917,3.62372,0.5068744,0.1,0.387983,0.2798305
FNDC7,0.167462,0.181774,0.1,0.325821583,0.1,0.1228792,0.1,0.1,0.112889
FNDC8,0.10918425,0.1073585,0.119157167,0.1,0.1,0.1013304,0.1,0.1,0.0919153
FNDC9,0.4110253,0.4249265,0.499319333,0.763829583,4.66879,0.3188302,0.1,0.1417495,2.55748
FNIP1,5.04058,8.7342725,4.00817,4.617256667,7.87123,9.756884,6.3,1.630325,2.403975
FNIP2,3.59037925,9.6164375,2.398821667,1.526931167,3.02806,5.170592,21.9,2.666605,2.4424375
FNTA,14.61415,19.8244,6.484116667,11.93164333,13.4815,26.92184,10.6,6.942075,3.7845425
FNTB,3.1046075,3.100985,1.246925333,0.4305725,0.1,0.7469496,0.1,0.4064935,0.390213
FOLH1,0.0837695,35.1434475,2.406303333,0.97560675,0.245542,40.0447,0.5,0.152836,0.998085
FOLH1B,0.064000735,3.19917225,0.1298455,0.121531333,0.1,3.544132,0.1,0.1,0.1427131
FOLR1,0.16131525,0.28506525,0.1,0.3511285,0.31614,0.1,0.1,0.1,0.1
FOLR2,0.08771255,3.07665175,0.174173167,0.519115167,0.1,0.9408118,34.1,0.866069,0.24885025
FOLR3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FOLR4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FONG,0.090471875,0.33497205,0.1,0.322308333,0.1,0.4164074,0.1,0.1,0.1419925
FOPNL,6.2834975,5.75859,5.152201667,6.656136667,5.16953,4.75403,3.1,4.0647,2.7841875
FOS,175.5966625,303.492,97.24091667,104.504175,75.583,167.93988,197.7,152.675,2.05146
FOSB,38.500605,128.6766,82.4883,15.69277417,21.2161,67.67112,54.6,127.13,0.0968843
FOSL1,6.6276305,0.74562375,3.568115833,0.26981375,0.157715,0.2458574,4.1,2.891365,0.087075775
FOSL2,2.182955,0.51653725,1.173180167,0.211363083,0.725096,0.2900624,1.7,3.410915,0.2117711
FOXA1,0.1,0.15819,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FOXA2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FOXA3,0.0969932,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FOXB1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FOXB2,0.0941074,0.1,0.416251667,0.1,0.1,0.1,0.1,0.1,0.1
FOXC1,0.777156,0.079776625,0.149201667,0.118639083,0.211751,0.1,0.1,4.59252,0.576104
FOXC2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FOXD1,1.6191625,0.062641925,0.1,0.1,0.111391,0.1,0.1,1.098161,0.046065175
FOXD2,0.053759125,0.1,0.1,0.1,0.1,0.1,0.1,0.101111,0.07720593
FOXD3,0.260217475,0.1467055,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FOXD4,0.068217775,0.1,0.1055015,0.1,0.1,0.1,0.1,0.1,0.099347375
FOXD4L1,0.074170025,0.1,0.087751667,0.1,0.1,0.1,0.1,0.1,0.046970503
FOXD4L2,0.056024,0.069268975,0.086163817,0.1,0.267402,0.1,0.1,0.1,0.08809155
FOXD4L2,0.056024,0.069268975,0.086163817,0.1,0.267402,0.1,0.1,0.1,0.0857248
FOXD4L3,0.068948475,0.0637599,0.086738467,0.1,0.228372,0.1,0.1,0.1,0.204404425
FOXD4L5,0.077650825,0.056732225,0.1,0.1,0.1,0.1,0.1,0.1,0.0567797
FOXD4L6,0.0676355,0.06098965,0.086052133,0.1,0.182053,0.1,0.1,0.1,0.177328275
FOXE1,0.078546225,0.08059035,0.093429533,0.104496167,0.1,0.1,0.1,0.1,0.08240815
FOXE3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FOXF1,0.30287475,0.1,0.3214353,0.1,0.1,0.1,0.1,3.615415,0.111736025
FOXF2,0.250938275,0.1,0.33145855,0.1,0.1,0.1,0.1,1.2009345,0.3452442
FOXG1,6.16656,2.275215,32.01331667,5.6003475,12.2904,1.267501,0.1,0.2669785,2.48978
FOXH1,0.1380072,0.1277367,0.278464333,0.146942583,0.1,0.1,0.1,0.318447,0.377968575
FOXI1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FOXI2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.07905385
FOXI3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FOXJ1,0.1,0.1,1.3415,0.1,0.1,0.1,0.1,0.1,0.1
FOXJ2,1.347494325,2.5264325,2.672773333,1.506483333,1.77473,1.38934,3.3,1.583365,0.4835835
FOXJ3,10.910265,7.024195,9.489426667,6.3128,13.4073,5.314492,4.6,4.05041,5.0289925
FOXK1,1.03173925,0.70530175,2.366493333,0.93519925,0.539513,0.5825738,0.4,0.2881915,0.37503875
FOXK2,1.187118,1.461385,5.051711667,0.960369833,1.67154,0.8766744,1.3,1.22361,0.429853
FOXL1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.38856,0.081591025
FOXL2,0.1,0.1,0.086364533,0.1,0.1,0.1,0.1,0.3538825,0.07862465
FOXM1,2.25906,0.1279885,6.512016667,0.211905417,0.1,0.1,0.1,0.1,0.093389475
FOXN1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FOXN2,3.96165125,10.8892475,7.107568333,4.17439,2.25904,15.11178,3.1,1.365415,1.9054925
FOXN3,5.2840875,6.8923725,15.53056,6.11401,6.26536,4.186224,12.1,6.83685,3.2167775
FOXN4,0.074307275,0.1039205,2.374643333,0.1,0.1,0.1,0.1,0.1,0.1
FOXO1,11.6897475,10.5408025,1.5359865,11.31128167,2.55911,3.707894,3.8,3.26097,1.5650275
FOXO3,5.667989,4.9080275,4.536463333,5.023081667,4.70256,2.99231,7.5,5.11503,1.5677825
FOXO3B,1.2199045,1.1955385,2.701743333,1.03132925,1.27784,0.7251144,1.2,1.150913,0.3865105
FOXO4,0.088923175,0.61276425,0.5446355,0.4914565,0.153863,1.4656738,0.1,0.337663,0.1664015
FOXP1,1.40957,1.54421175,3.757076667,0.832601417,3.67568,1.4193138,0.8,8.88061,2.830895
FOXP2,0.21493,0.710422125,1.969947167,0.10257975,3.44844,0.1798916,4.2,0.680687,1.954634
FOXP3,0.1,0.1,0.1,0.103920833,0.1,0.1,0.1,0.1,0.084455575
FOXP4,0.051318725,0.205733075,3.835575,0.117639333,0.1,0.1414752,0.1,0.1,0.053860675
FOXQ1,0.0653593,0.1,0.1,0.106680917,0.543388,0.1,0.1,4.173735,0.34421525
FOXR1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FOXR2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FOXRED1,0.71173925,0.73142975,1.386521667,1.048684417,0.1,0.468819,0.3,0.400812,1.00967025
FOXRED2,5.3120975,3.5600425,3.810098333,6.282755833,3.9796,1.4716736,0.4,0.445367,1.863095
FOXS1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1350805,0.1
FP588,0.25770725,0.708019,0.365211333,1.016309083,1.13325,0.5159778,0.1,0.237991,0.77793975
FPGS,0.12716515,0.2354985,0.449586667,0.286092917,0.1,0.1104772,0.1,0.189673,0.063843025
FPGT,1.3724335,1.309745,0.746772333,1.133467833,1.19011,1.2235028,0.7,0.4960635,0.70986025
FPGT-TNNI3K,0.71199275,1.04228325,0.8471275,0.8705705,2.55091,0.8867764,0.7,0.3761225,0.527021
FPR1,0.085389225,9.058815,0.105565167,0.84897725,0.416841,8.840308,108.2,0.9343895,0.096071325
FPR2,0.09949265,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1
FPR3,0.1687255,1.51223005,0.1,0.143456,0.198577,0.5004822,6.4,0.1,0.17948325
FRA10AC1,1.07163025,1.5544275,0.844711667,2.115713333,3.57555,3.482582,0.9,1.57662,3.51489
FRAS1,0.113750425,0.04850055,0.1194822,0.1,1.12304,0.1,0.1,0.527941,0.35380325
FRAT1,0.123340875,0.472775,0.1068635,0.210948,0.562821,0.4614556,0.7,0.100385,0.1802321
FRAT2,0.369825,0.9940735,0.5175855,0.909882583,2.52858,1.1251988,0.6,0.314998,0.11458285
FREM1,0.29726275,0.13774475,0.464377167,0.203120083,1.56915,0.1312434,0.1,0.1091275,0.27695725
FREM2,6.2700085,1.79110025,0.649310667,5.365130833,0.792428,0.5402744,0.1,0.161064,0.49881825
FREM3,0.04481685,0.069593675,0.110205333,0.101675667,0.818026,0.1830866,0.1,0.1,0.34875925
FRG1,4.5121335,5.5190175,5.839776667,4.50125,13.3562,6.231956,5.4,5.38132,3.8175475
FRG1B,10.817365,1.76921775,4.408866667,1.423977083,2.68346,2.040636,1.4,0.541232,10.22541
FRG2,0.076229918,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.07814745
FRG2B,0.078374825,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FRG2C,0.081848275,0.090003075,0.1,0.1,0.1,0.1,0.1,0.1,0.058738675
FRG2C,0.081848275,0.090003075,0.1,0.1,0.1,0.1,0.1,0.1,0.058738675
FRK,0.08241135,0.72911575,0.092661217,0.282483083,0.1,0.6509738,0.1,0.109912,0.17440135
FRMD1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FRMD3,2.16592925,0.62788225,2.360422167,0.1597745,1.36317,0.1635294,0.2,4.159595,0.390307
FRMD4A,1.65645675,2.7341075,7.656328333,4.521611667,2.35197,1.4300292,12.4,0.8539325,1.9197325
FRMD4B,0.77004925,12.056535,5.529953333,0.455648583,0.948902,11.516832,5.7,0.6313505,0.80078075
FRMD5,1.200953,3.40590875,1.132708333,0.963251333,1.80434,3.122448,0.1,0.1,0.39797875
FRMD6,3.4461185,1.904859,1.005499333,1.4615765,0.890052,1.1796964,0.2,2.301375,0.8013625
FRMD6-AS1,0.082406465,0.200589798,0.11465,0.108332667,0.1,0.1,0.1,0.143698,0.1198061
FRMD7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.078282425
FRMD8,0.912451,1.3422705,0.7487645,0.364605,0.451765,0.7912012,1.1,0.6891085,0.215342025
FRMD8P1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FRMPD1,0.25809635,0.234785,0.210728167,0.80256075,1.94037,0.3240026,0.1,0.1507125,0.17603375
FRMPD2,0.22430035,0.700035,0.8240335,0.51136225,0.886683,0.1,0.1,0.3427385,0.3582176
FRMPD2P1,0.0482483,0.237029,0.1,0.143431583,1.12335,0.1,0.1,0.161353,0.25164675
FRMPD2P1,0.1,0.1,0.481829667,0.234663083,0.1,0.1,0.1,0.1859385,0.1
FRMPD4,0.079737075,0.112431,0.231040333,0.22594075,6.53106,0.1009732,0.1,0.3143915,1.7895675
FRRS1,0.169731475,0.1090491,0.1,0.136262417,0.1,0.1032928,0.7,0.1335685,0.074737025
FRS2,12.9447,11.7807825,10.56835667,16.55406667,8.41996,13.765608,4.2,3.468075,5.8435125
FRS3,0.25337075,0.3802113,0.518057333,0.25850975,0.586226,0.2663656,0.1,0.4324975,0.209073
FRY,1.54679475,2.4688725,2.352696667,0.452611083,12.2971,2.241554,0.1,2.795185,2.95259
FRYL,4.9220375,17.0052175,7.568155,4.2225825,6.2498,15.34366,5.3,3.91052,3.122755
FRZB,1.178782425,1.68571275,0.828428833,0.37226725,2.23806,0.7992292,0.1,6.866205,0.52065975
FSBP,0.817417,0.739316,0.230455,1.50875125,1.16958,0.8329914,0.2,0.2089105,0.278414
FSCB,0.08677855,0.081189475,0.1,0.1,0.155812,0.1,0.1,0.1,0.08837785
FSCN1,0.679139625,2.062626,3.693063333,0.101924333,0.177025,0.2767016,0.6,0.739287,0.09298385
FSCN2,0.1,0.1,0.555298333,0.1,0.1,0.1,0.1,0.1,0.1
